"CubeId";"snboffzisa"
"PublishingDate";"2026-02-23 09:00"

"Date";"D0";"Value"
"2013-08";"OG0";"0.25"
"2013-09";"LZ";
"2013-09";"UG0";"0"
"2013-09";"OG0";"0.25"
"2013-10";"LZ";
"2013-10";"UG0";"0"
"2013-10";"OG0";"0.25"
"2013-11";"LZ";
"2013-11";"UG0";"0"
"2013-11";"OG0";"0.25"
"2013-12";"LZ";
"2013-12";"UG0";"0"
"2013-12";"OG0";"0.25"
"2014-01";"LZ";
"2014-01";"UG0";"0"
"2014-01";"OG0";"0.25"
"2014-02";"LZ";
"2014-02";"UG0";"0"
"2014-02";"OG0";"0.25"
"2014-03";"LZ";
"2014-03";"UG0";"0"
"2014-03";"OG0";"0.25"
"2014-04";"LZ";
"2014-04";"UG0";"0"
"2014-04";"OG0";"0.25"
"2014-05";"LZ";
"2014-05";"UG0";"0"
"2014-05";"OG0";"0.25"
"2014-06";"LZ";
"2014-06";"UG0";"0"
"2014-06";"OG0";"0.25"
"2014-07";"LZ";
"2014-07";"UG0";"0"
"2014-07";"OG0";"0.25"
"2014-08";"LZ";
"2014-08";"UG0";"0"
"2014-08";"OG0";"0.25"
"2014-09";"LZ";
"2014-09";"UG0";"0"
"2014-09";"OG0";"0.25"
"2014-10";"LZ";
"2014-10";"UG0";"0"
"2014-10";"OG0";"0.25"
"2014-11";"LZ";
"2014-11";"UG0";"0"
"2014-11";"OG0";"0.25"
"2014-12";"LZ";
"2014-12";"UG0";"-0.75"
"2014-12";"OG0";"0.25"
"2015-01";"LZ";
"2015-01";"UG0";"-1.25"
"2015-01";"OG0";"-0.25"
"2015-02";"LZ";
"2015-02";"UG0";"-1.25"
"2015-02";"OG0";"-0.25"
"2015-03";"LZ";
"2015-03";"UG0";"-1.25"
"2015-03";"OG0";"-0.25"
"2015-04";"LZ";
"2015-04";"UG0";"-1.25"
"2015-04";"OG0";"-0.25"
"2015-05";"LZ";
"2015-05";"UG0";"-1.25"
"2015-05";"OG0";"-0.25"
"2015-06";"LZ";
"2015-06";"UG0";"-1.25"
"2015-06";"OG0";"-0.25"
"2015-07";"LZ";
"2015-07";"UG0";"-1.25"
"2015-07";"OG0";"-0.25"
"2015-08";"LZ";
"2015-08";"UG0";"-1.25"
"2015-08";"OG0";"-0.25"
"2015-09";"LZ";
"2015-09";"UG0";"-1.25"
"2015-09";"OG0";"-0.25"
"2015-10";"LZ";
"2015-10";"UG0";"-1.25"
"2015-10";"OG0";"-0.25"
"2015-11";"LZ";
"2015-11";"UG0";"-1.25"
"2015-11";"OG0";"-0.25"
"2015-12";"LZ";
"2015-12";"UG0";"-1.25"
"2015-12";"OG0";"-0.25"
"2016-01";"LZ";
"2016-01";"UG0";"-1.25"
"2016-01";"OG0";"-0.25"
"2016-02";"LZ";
"2016-02";"UG0";"-1.25"
"2016-02";"OG0";"-0.25"
"2016-03";"LZ";
"2016-03";"UG0";"-1.25"
"2016-03";"OG0";"-0.25"
"2016-04";"LZ";
"2016-04";"UG0";"-1.25"
"2016-04";"OG0";"-0.25"
"2016-05";"LZ";
"2016-05";"UG0";"-1.25"
"2016-05";"OG0";"-0.25"
"2016-06";"LZ";
"2016-06";"UG0";"-1.25"
"2016-06";"OG0";"-0.25"
"2016-07";"LZ";
"2016-07";"UG0";"-1.25"
"2016-07";"OG0";"-0.25"
"2016-08";"LZ";
"2016-08";"UG0";"-1.25"
"2016-08";"OG0";"-0.25"
"2016-09";"LZ";
"2016-09";"UG0";"-1.25"
"2016-09";"OG0";"-0.25"
"2016-10";"LZ";
"2016-10";"UG0";"-1.25"
"2016-10";"OG0";"-0.25"
"2016-11";"LZ";
"2016-11";"UG0";"-1.25"
"2016-11";"OG0";"-0.25"
"2016-12";"LZ";
"2016-12";"UG0";"-1.25"
"2016-12";"OG0";"-0.25"
"2017-01";"LZ";
"2017-01";"UG0";"-1.25"
"2017-01";"OG0";"-0.25"
"2017-02";"LZ";
"2017-02";"UG0";"-1.25"
"2017-02";"OG0";"-0.25"
"2017-03";"LZ";
"2017-03";"UG0";"-1.25"
"2017-03";"OG0";"-0.25"
"2017-04";"LZ";
"2017-04";"UG0";"-1.25"
"2017-04";"OG0";"-0.25"
"2017-05";"LZ";
"2017-05";"UG0";"-1.25"
"2017-05";"OG0";"-0.25"
"2017-06";"LZ";
"2017-06";"UG0";"-1.25"
"2017-06";"OG0";"-0.25"
"2017-07";"LZ";
"2017-07";"UG0";"-1.25"
"2017-07";"OG0";"-0.25"
"2017-08";"LZ";
"2017-08";"UG0";"-1.25"
"2017-08";"OG0";"-0.25"
"2017-09";"LZ";
"2017-09";"UG0";"-1.25"
"2017-09";"OG0";"-0.25"
"2017-10";"LZ";
"2017-10";"UG0";"-1.25"
"2017-10";"OG0";"-0.25"
"2017-11";"LZ";
"2017-11";"UG0";"-1.25"
"2017-11";"OG0";"-0.25"
"2017-12";"LZ";
"2017-12";"UG0";"-1.25"
"2017-12";"OG0";"-0.25"
"2018-01";"LZ";
"2018-01";"UG0";"-1.25"
"2018-01";"OG0";"-0.25"
"2018-02";"LZ";
"2018-02";"UG0";"-1.25"
"2018-02";"OG0";"-0.25"
"2018-03";"LZ";
"2018-03";"UG0";"-1.25"
"2018-03";"OG0";"-0.25"
"2018-04";"LZ";
"2018-04";"UG0";"-1.25"
"2018-04";"OG0";"-0.25"
"2018-05";"LZ";
"2018-05";"UG0";"-1.25"
"2018-05";"OG0";"-0.25"
"2018-06";"LZ";
"2018-06";"UG0";"-1.25"
"2018-06";"OG0";"-0.25"
"2018-07";"LZ";
"2018-07";"UG0";"-1.25"
"2018-07";"OG0";"-0.25"
"2018-08";"LZ";
"2018-08";"UG0";"-1.25"
"2018-08";"OG0";"-0.25"
