"Année","Canton","Nationalité (catégorie)","Sexe","Âge","Immigration, y compris les changements de type de population"
"1989","Luzern","Étranger","Sexe - total","Âge - total",3061
"1989","Uri","Étranger","Sexe - total","Âge - total",200
"1989","Schwyz","Étranger","Sexe - total","Âge - total",1117
"1989","Obwalden","Étranger","Sexe - total","Âge - total",296
"1989","Nidwalden","Étranger","Sexe - total","Âge - total",202
"1989","Glarus","Étranger","Sexe - total","Âge - total",532
"1989","Zug","Étranger","Sexe - total","Âge - total",910
"1989","Fribourg / Freiburg","Étranger","Sexe - total","Âge - total",3351
"1989","Solothurn","Étranger","Sexe - total","Âge - total",1961
"1989","Basel-Stadt","Étranger","Sexe - total","Âge - total",3554
"1989","Basel-Landschaft","Étranger","Sexe - total","Âge - total",2198
"1989","Schaffhausen","Étranger","Sexe - total","Âge - total",731
"1989","Appenzell Ausserrhoden","Étranger","Sexe - total","Âge - total",537
"1989","Appenzell Innerrhoden","Étranger","Sexe - total","Âge - total",172
"1989","St. Gallen","Étranger","Sexe - total","Âge - total",5161
"1989","Graubünden / Grigioni / Grischun","Étranger","Sexe - total","Âge - total",2530
"1989","Aargau","Étranger","Sexe - total","Âge - total",6046
"1989","Thurgau","Étranger","Sexe - total","Âge - total",2759
"1989","Ticino","Étranger","Sexe - total","Âge - total",3776
"1989","Vaud","Étranger","Sexe - total","Âge - total",13764
"1989","Valais / Wallis","Étranger","Sexe - total","Âge - total",5347
"1989","Neuchâtel","Étranger","Sexe - total","Âge - total",2816
"1989","Genève","Étranger","Sexe - total","Âge - total",12477
"1989","Jura","Étranger","Sexe - total","Âge - total",580
"1989","Sans indication","Étranger","Sexe - total","Âge - total",0
"1990","Suisse","Étranger","Sexe - total","Âge - total",122779
"1990","Zürich","Étranger","Sexe - total","Âge - total",18394
"1990","Bern / Berne","Étranger","Sexe - total","Âge - total",12220
"1990","Luzern","Étranger","Sexe - total","Âge - total",4569
"1990","Uri","Étranger","Sexe - total","Âge - total",253
"1990","Schwyz","Étranger","Sexe - total","Âge - total",1653
"1990","Obwalden","Étranger","Sexe - total","Âge - total",348
"1990","Nidwalden","Étranger","Sexe - total","Âge - total",347
"1990","Glarus","Étranger","Sexe - total","Âge - total",569
"1990","Zug","Étranger","Sexe - total","Âge - total",1179
"1990","Fribourg / Freiburg","Étranger","Sexe - total","Âge - total",3813
"1990","Solothurn","Étranger","Sexe - total","Âge - total",2906
"1990","Basel-Stadt","Étranger","Sexe - total","Âge - total",5600
"1990","Basel-Landschaft","Étranger","Sexe - total","Âge - total",2622
"1990","Schaffhausen","Étranger","Sexe - total","Âge - total",869
"1990","Appenzell Ausserrhoden","Étranger","Sexe - total","Âge - total",816
"1990","Appenzell Innerrhoden","Étranger","Sexe - total","Âge - total",158
"1990","St. Gallen","Étranger","Sexe - total","Âge - total",6278
"1990","Graubünden / Grigioni / Grischun","Étranger","Sexe - total","Âge - total",2837
"1990","Aargau","Étranger","Sexe - total","Âge - total",6897
"1990","Thurgau","Étranger","Sexe - total","Âge - total",3323
"1990","Ticino","Étranger","Sexe - total","Âge - total",4527
"1990","Vaud","Étranger","Sexe - total","Âge - total",18302
"1990","Valais / Wallis","Étranger","Sexe - total","Âge - total",5688
"1990","Neuchâtel","Étranger","Sexe - total","Âge - total",3635
"1990","Genève","Étranger","Sexe - total","Âge - total",14180
"1990","Jura","Étranger","Sexe - total","Âge - total",796
"1990","Sans indication","Étranger","Sexe - total","Âge - total",0
"1991","Suisse","Étranger","Sexe - total","Âge - total",133100
"1991","Zürich","Étranger","Sexe - total","Âge - total",20875
"1991","Bern / Berne","Étranger","Sexe - total","Âge - total",12538
"1991","Luzern","Étranger","Sexe - total","Âge - total",4858
"1991","Uri","Étranger","Sexe - total","Âge - total",343
"1991","Schwyz","Étranger","Sexe - total","Âge - total",1869
"1991","Obwalden","Étranger","Sexe - total","Âge - total",505
"1991","Nidwalden","Étranger","Sexe - total","Âge - total",411
"1991","Glarus","Étranger","Sexe - total","Âge - total",732
"1991","Zug","Étranger","Sexe - total","Âge - total",1348
"1991","Fribourg / Freiburg","Étranger","Sexe - total","Âge - total",4301
"1991","Solothurn","Étranger","Sexe - total","Âge - total",3622
"1991","Basel-Stadt","Étranger","Sexe - total","Âge - total",5495
"1991","Basel-Landschaft","Étranger","Sexe - total","Âge - total",2646
"1991","Schaffhausen","Étranger","Sexe - total","Âge - total",1052
"1991","Appenzell Ausserrhoden","Étranger","Sexe - total","Âge - total",907
"1991","Appenzell Innerrhoden","Étranger","Sexe - total","Âge - total",195
"1991","St. Gallen","Étranger","Sexe - total","Âge - total",7407
"1991","Graubünden / Grigioni / Grischun","Étranger","Sexe - total","Âge - total",3462
"1991","Aargau","Étranger","Sexe - total","Âge - total",9110
"1991","Thurgau","Étranger","Sexe - total","Âge - total",3663
"1991","Ticino","Étranger","Sexe - total","Âge - total",4505
"1991","Vaud","Étranger","Sexe - total","Âge - total",17654
"1991","Valais / Wallis","Étranger","Sexe - total","Âge - total",6619
"1991","Neuchâtel","Étranger","Sexe - total","Âge - total",3619
"1991","Genève","Étranger","Sexe - total","Âge - total",14357
"1991","Jura","Étranger","Sexe - total","Âge - total",1007
"1991","Sans indication","Étranger","Sexe - total","Âge - total",0
"1992","Suisse","Étranger","Sexe - total","Âge - total",131891
"1992","Zürich","Étranger","Sexe - total","Âge - total",21705
"1992","Bern / Berne","Étranger","Sexe - total","Âge - total",11416
"1992","Luzern","Étranger","Sexe - total","Âge - total",5662
"1992","Uri","Étranger","Sexe - total","Âge - total",330
"1992","Schwyz","Étranger","Sexe - total","Âge - total",2173
"1992","Obwalden","Étranger","Sexe - total","Âge - total",557
"1992","Nidwalden","Étranger","Sexe - total","Âge - total",520
"1992","Glarus","Étranger","Sexe - total","Âge - total",634
"1992","Zug","Étranger","Sexe - total","Âge - total",1388
"1992","Fribourg / Freiburg","Étranger","Sexe - total","Âge - total",4036
"1992","Solothurn","Étranger","Sexe - total","Âge - total",3053
"1992","Basel-Stadt","Étranger","Sexe - total","Âge - total",4930
"1992","Basel-Landschaft","Étranger","Sexe - total","Âge - total",2553
"1992","Schaffhausen","Étranger","Sexe - total","Âge - total",961
"1992","Appenzell Ausserrhoden","Étranger","Sexe - total","Âge - total",843
"1992","Appenzell Innerrhoden","Étranger","Sexe - total","Âge - total",213
"1992","St. Gallen","Étranger","Sexe - total","Âge - total",8120
"1992","Graubünden / Grigioni / Grischun","Étranger","Sexe - total","Âge - total",3935
"1992","Aargau","Étranger","Sexe - total","Âge - total",8026
"1992","Thurgau","Étranger","Sexe - total","Âge - total",3147
"1992","Ticino","Étranger","Sexe - total","Âge - total",6065
"1992","Vaud","Étranger","Sexe - total","Âge - total",16964
"1992","Valais / Wallis","Étranger","Sexe - total","Âge - total",6718
"1992","Neuchâtel","Étranger","Sexe - total","Âge - total",3082
"1992","Genève","Étranger","Sexe - total","Âge - total",13863
"1992","Jura","Étranger","Sexe - total","Âge - total",997
"1992","Sans indication","Étranger","Sexe - total","Âge - total",0
"1993","Suisse","Étranger","Sexe - total","Âge - total",122454
"1993","Zürich","Étranger","Sexe - total","Âge - total",19912
"1993","Bern / Berne","Étranger","Sexe - total","Âge - total",10323
"1993","Luzern","Étranger","Sexe - total","Âge - total",5039
"1993","Uri","Étranger","Sexe - total","Âge - total",314
"1993","Schwyz","Étranger","Sexe - total","Âge - total",2135
"1993","Obwalden","Étranger","Sexe - total","Âge - total",556
"1993","Nidwalden","Étranger","Sexe - total","Âge - total",500
"1993","Glarus","Étranger","Sexe - total","Âge - total",606
"1993","Zug","Étranger","Sexe - total","Âge - total",1399
"1993","Fribourg / Freiburg","Étranger","Sexe - total","Âge - total",4013
"1993","Solothurn","Étranger","Sexe - total","Âge - total",3007
"1993","Basel-Stadt","Étranger","Sexe - total","Âge - total",4520
